"Русский Season 18 Последнее обновление:
26 июня, 2026 Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь Марка и модель","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Требуемое DLC","Нужно ли открывать","Открывается по","Требуемый уровень","Находится в регионе","Находится на карте","Название контракта/поручения для открытия","Класс авто","Цена в магазине грузовиков","Тип привода","Полный привод","Блокировка дифференциала","Диаметр колёс в стоке (дюймы)","Scale stock","Макс. диаметр колёс (дюймы)","Scale max","Объем бака (л)","Крут. момент топ движка","Полная масса c колёсами","Отношение момент/масса","Коробки передач","Лебёдки","Поворотные оси","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Высокая подвеска","Заказная подвеска","Crawler
Suspension","Активная подвеска","Спаренные вседорожные шины","Одинарные вседорожные шины","Спаренные внедорожные шины","Одинарные внедорожные шины","Шины для грязи","Болотные шины","Шины с цепями","Масса каждой шины","Умножение массы для задней оси","VladVulcan рекомендует","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","Бочки под низкое седло","Высокое седло","Бочка под высокое седло","Манипулятор","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Большой кран","Сверхтяжелый кран","Кран для бревен","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","КОМБО: кран + седло ","Модуль для коротких брёвен","Модуль для средних брёвен","Роспуск для длинных брёвен","КОМБО: кран ЛП-4 и низкое седло","Прицепы-лесовозы Futom","Складной полуприцеп-лесовоз (длинные бревна)","Бак для топлива (л)","Бак для воды (л)","Ремонтный кунг (ремонт - запаски)","Сервисный модуль для ТО (ремонт - запаски - литры)","Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Максимум припасов
(ремонт - запаски - литры)","Запасное колесо (шт.)","Сейсмовибратор","Металло-
детектор","КОМБО: детектор + что-то еще","Платформа эвакуатора","Базовый движок","Крутящий
момент в стоке","Отношение
крут. момент/масса
в стоке","Имя файла грузовика
в архиве игры","","",""
"FEMM 37 AT","Year 3 - Season 12","TRUE","Контракт","","North Carolina","Oviro Hills","""Abandoned Giant""","Тяжелый","$208 600","6x6","Постоянный","Подключаемая","71","0,90","71","0,90","340","288000","29638","9,72","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","","LK-2NY","","","","3-слотовая
платформа +кран +прицеп","4-слотовая
платформа +прицеп","Высокое седло + кран","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","","350-6-2000","","150-0-140","500-6-2140","","","","","","KZGT-8 490","205000","6,92","femm_37at.xml","","",""
"Ford CLT 9000","","FALSE","","","","","","Шоссейный","$41 300","6x4","Нет","Нет","39","0,50","43","0,55","280","155000","8171","18,97","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск","","","ДА","1800","1800","800-6","300-5-1400","","","","2","","Металло-
детектор","МД+НизкоеСедло
МД+ВысокоеСедло","Платформа эвакуатора с рампой","Si-6V/1900","135000","16,52","ford_clt9000.xml","","",""
"Ford F750","Year 1 - Season 1","TRUE","Поручение","","Kola Peninsula","Lake Kovd","""Foreigner""","Скаут","$54 400","4x4","Подключаемый","Постоянная","37","0,47","45","0,57","140","120000","7114","16,87","Custom","Лёгкие","1, передняя","Высокая","Заказная","","","","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II","Грузовые прицепы","Скаутские прицепы","","","","","","LC 3.8","","","","1-слотовая
платформа +кран +прицеп","","","","","","","","","","","","","","600-6-120
900-8-240","","0-2-100 (roof);
50-4-20 (crane slot)","650-12-240;
950-14-360","","","","","","AAT-6V 4,0","35000","4,92","ford_f750.xml","","",""
"Freightliner 114SD","","TRUE","Уровень водителя","20","Ontario","Burned Forest","","Вездеход","$93 800","6x6","Подключаемый","Подключаемая","43","0,55","47","0,60","300","145000","9017","16,08","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","Si-6V/1900","135000","14,97","freightliner_114sd.xml","","",""
"Freightliner FLD 120","Freightliner & Western Star Dual Pack","FALSE","","","","","","Heavy Duty","$84 100","6x6","Подключаемый","Подключаемая","43","0,54","46","0,58","310","192000","11067","17,35","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC);
Freightliner FLD","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","","300-5-1400","","450-2-200;
100-2-450","","2","СейсмоВибратор","","","Подвижная платформа эвакуатора ","Si-8V / 2300","160000","14,46","freightliner_fld120.xml","","",""
"Freightliner M916A1","","TRUE","Уровень водителя","17","","","","Вездеход","$89 100","6x6","Подключаемый","Постоянная","43","0,55","47","0,60","200","192000","12042,8","15,94","Уникальный вездеход (M916)+
Точная регулировка (M916)","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","","Высокое седло","","LC 3.8","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","Si-8V/2300","160000","13,29","freightliner_m916a1.xml","","",""
"Futom 7290RA","Year 4
Season 14","TRUE","Контракт","","Austria","Foothills","""All Work and No Play""","Тяжелый","$209 700","4x4","Подключаемый","Подключаемая","79","1,00","79","1,00","400","180000","20024","8,99","Special","Тяжелые","2, перед + зад","","","","","","","","","MSH
JAT MSH (DLC)
Futom MHS I","Futom MHS II","","","","Futom MHS II","Грузовые прицепы","","Сельхоз прицепы","","","","","","","","Futom crane","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","Pass 500L12","130000","6,49","futom_7290ra.xml","","",""
"GMC 8000 Brigadier","Brigadier DLC","FALSE","","","","","","Грузовой","$107 200","6x6","Подключаемый","Подключаемая","39","0,50","46","0,58","285","170000","8000","21,25","Грузовые","Средние","1, передняя","Высокая","Заказная","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","","ДА","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор +Прицеп","Металло-
детектор","МД+2СлотБТ/ПФ
МД+НизкоеСедло
МД+ВысокоеСедло","Подвижная платформа эвакуатора ","Si-6V/1900","135000","16,88","gmc_8000.xml","","",""
"GMC MH9500","","TRUE","Разведка","","Michigan
Ontario","Black River;
Burned Forest","","Шоссейный","$26 300","6x6","Подключаемый","Подключаемая","43","0,55","47","0,60","240","145000","8020","18,08","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","PC-320","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","","ДА","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор","Металло-
детектор","МД+2СлотБТ/ПФ
МД+НизкоеСедло
МД+ВысокоеСедло","Подвижная платформа эвакуатора ","Westline V6 2420","140000","17,46","gmc_9500.xml","","",""
"GOR BY-4","Year 2 - Season 7","TRUE","Поручение","","Tennessee","Burning Mill","""Buggy Delivery""","Скаут","$17 700","4x4","Подключаемый","Подключаемая","29","0,37","31","0,39","50","72000","1458","49,38","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OG","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OG I","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","0-0-60;
0-2-60","","1","","","","","Kr 104","30000","20,58","gor_by4.xml","","",""
"HIB Billert 1980","Year 4
Season 16","TRUE","Поручение","","Washington","Selten River National Park","""Muddy Route""","Вездеход","$74 100","4x4","Постоянный","Подключаемая","44","0,56","49","0,62","180","157000","7362","21,33","Грузовые","Средние +автономная","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","HIB Billert tires","MHS II;
JAT MHS (DLC)","","UAD chains","","x2","MHS II
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","LC 3.8","","","ЛП-4","1-слотовая
платформа +кран +прицеп","2-слотовая
платформа +прицеп","","","Низкое седло + кран","","","","","","","","","","600-4-300","","350-0-120","950-5-420","2","","","","","Si-6V/1900","135000","18,34","hib_billert_1980.xml","","",""
"Hummer H2","","TRUE","Поручение","","Alaska;
Wisconsin;
Ontario.","North Port;
Black Badger Lake;
The Albany River","""Drowned Hummer"";
""Lost but not Forgotten"";
""Bad trip""","Скаут","$18 300","4x4","Подключаемый","Подключаемая","36","0,46","39","0,50","80","120000","3804","31,55","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Hummer H2 tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Hummer tires
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-40;
150-0-40","300-4-80","2","","","","","Het/8V 5,8","90000","23,66","hummer_h2.xml","","",""
"International Fleetstar F2070A","","FALSE","","","Michigan
Ontario","Black River;
Burned Forest","""Support Local Rangers""","Грузовой","$30 000","6x6","Подключаемый","Подключаемая","42","0,53","45","0,57","240","155000","7313","21,20","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","300-5-1400","","","","2","","Металло-
детектор","МД+НизкоеСедло
МД+ВысокоеСедло","Подвижная платформа эвакуатора ","Si-6V/1900","135000","18,46","international_fleetstar_f2070a.xml","","",""
"International HX 520","Anniversary DLC (free)","FALSE","","","","","","Грузовой","$172 300","6x6","Подключаемый","Подключаемая","43","0,55","47","0,60","280","210000","8564","24,52","Грузовые","Средние","1, передняя","","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","","","","","Подвижная платформа эвакуатора ","Si-8V/2300","160000","18,68","international_hx_520.xml","","",""
"International Loadstar 1700","","FALSE","","","","","","Скаут","$39 400","4x4","Постоянный","Постоянная","35","0,45","41","0,52","130","145000","5102","28,42","Грузовые","Лёгкие","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","","Скаутские прицепы","","","","","","LC 3.8","","","","","","","","","","","","","","","","","400-0","150-6-60","","","","","","","","","Si-6V/1900","135000","26,46","international_loadstar_1700.xml","","",""
"International Paystar 5070","","FALSE","","","","","","Вездеход","$82 100","6x6","Подключаемый","Подключаемая","46","0,58","46","0,58","240","150000","10209","14,69","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","Gb-8V 31 Special","150000","14,69","international_paystar_5070.xml","","",""
"International Paystar 5600TS","Year 1 - Season 3","TRUE","Разведка",""," Wisconsin","Grainwoods River","","Тяжелый","$126 600","10x10","Подключаемый","Подключаемая","43","0,55","50","0,63","280","250000","22602","11,06","Грузовые","Тяжелые","2, передние","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","LC 3.8","PC-320","LK-2NY","ЛП-4","","","3-слотовая
платформа +кран +прицеп","","Низкое седло + кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","2800","2800","800-6","","","","","","","","","Платформа эвакуатора с рампой","A16V-2000","200000","8,85","paystar_5600ts.xml","","",""
"International Scout 800","","TRUE","Разведка или Поручение","","Michigan
Ontario
North Carolina","Black River;
 The Albany River;
Flatland","""Abandoned Transport"";
""Cliffhanger""","Скаут","$12 700","4x4","Подключаемый","Постоянная","33","0,43","40","0,51","72","50000","3126","15,99","Скаутские","Лёгкие","1, передняя","Высокая","","Всепроходная","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-140;
450-6-120","600-8-260","2","","","","","AAT-6V 4,0","35000","11,20","international_scout_800.xml","","",""
"International Transtar 4070A","","TRUE","Уровень водителя или Разведка","6","Michigan","Smithville Dam","","Шоссейный","$31 900","6x4","Нет","Нет","39","0,50","42","0,53","265","160000","7047","22,70","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","","","2","","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","Si-6V/1900","135000","19,16","international_transtar_4070a.xml","","",""
"Jangsu RX600","Year 5
Season 17","TRUE","Поручение","","Zurdania","Zurdanian Valley","""The Long Way Through a Shortcut""","Вездеход","$93 900","6x6","Подключаемый","Постоянная","41","0,53","44","0,57","160","147150","9431,1","15,60","КПП Jangsu","Средние","1, передняя","Высокая","","Всепроходная","","","ATHS","","OHS;
JAT OHS (DLC);
Jangsu tires","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","MHS chains","200","","OHS II
TMHS I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","LC 3.8","","","ЛП-4","","2-слотовая
платформа +прицеп","","","Низкое седло + кран","","","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","900","","800-6","","","150-0-120","150-0-1020;
950-6-120","2","СейсмоВибратор +Прицеп","","","Подвижная платформа эвакуатора ","Columbus 6V-170X","115200","12,21","jangsu_rx600.xml","","",""
"Jeep CJ7 Renegade","Jeep
Dual Pack","FALSE","","","","","","Скаут","$13 400","4x4","Подключаемый","Подключаемая","28","0,35","31","0,40","75","110000","2016","54,56","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OJ","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OJ 1
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-60","150-1-60","2","","","","","AAT-6V 4,0","35000","17,36","jeep_cj7_renegade.xml","","",""
"Jeep Wrangler","Jeep
Dual Pack","FALSE","","","","","","Скаут","$20 100","4x4","Подключаемый","Подключаемая","32","0,41","36","0,46","80","120000","2319","51,75","Скаутские","Лёгкие","1, передняя","Высокая","Заказная","Всепроходная","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OJ","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OJ 1
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-40","150-4-40","2","","","","","Het/8V 5,8","90000","38,81","jeep_wrangler.xml","","",""
"Kenworth 963","Year 3 - Season 10","TRUE","Поручение","","British Columbia","Duncan Bay","""Quid Pro Quo""","Тяжелый","$147 600","6x6","Подключаемый","Постоянная","71","0,90","71","0,90","510","265000","32636","8,12","Special (Kenworth 963)","Тяжелые","1, передняя","","","","","","Kenworth 963 tires","","","MSH;
JAT MSH (DLC)","","","600","","Kenworth 963 tires
JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","LK-2NY","ЛП-4","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +кран +прицеп","","Высокое седло + кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз +КМУ +Прицеп","Передний роспуск +КМУ","","","","","","","350-6-2000","","150-0-160","150-2-2960;
500-6-2160","","","","","Платформа эвакуатора с рампой","A12V-780","175000","5,36","kenworth_963.xml","","",""
"Kenworth C500","Kenworth Dual Pack","FALSE","","","","","","Грузовой","$153 100","6x6","Switchable","Постоянная","47","0,60","51","0,65","375","192000","12921","14,86","Грузовые","Средние","1, передняя","","","","","ATMD;
JAT ATHD (DLC);
Kenworth C500","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","300-5-1400","","150-0-80","150-4-1880;
950-10-80;
450-9-1480","","СейсмоВибратор","","","Платформа эвакуатора с рампой
Подвижная платформа эвакуатора ","Si-8V / 2300","160000","12,38","kenworth_c500.xml","","",""
"Kenworth T880","Kenworth Dual Pack","FALSE","","","","","","Шоссейный","$153 500","6x4","Нет","Постоянная","44","0,56","46","0,59","350","288000","11518","25,00","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC);
Kenworth T880","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +прицеп","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","300-5-1400","","150-0-80","150-2-1880;
950-8-80;
450-7-1480","2","СейсмоВибратор","","","Платформа эвакуатора с рампой
Подвижная платформа эвакуатора ","Prime C11","255000","22,14","kenworth_t880.xml","","",""
"Kenworth W990","Kenworth W990","FALSE","","","","","","Шоссейный","$124 400","8x4","Нет","Постоянная","44","0,56","52","0,66","380","228000","10435","21,85","Грузовые","Тяжелые","1, передняя","Высокая","","","Подъёмная ось","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","W990 tires","","OHD chains","200","x2","W990 tires","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","150-0-80","150-2-1880;
950-8-80;
450-7-1480","2","СейсмоВибратор","","","Подвижная платформа эвакуатора ","Si-8V / 2300","160000","15,33","kenworth_w990.xml","","",""
"KHAN 317 Sentinel","Year 1 - Season 4","FALSE","","","Amur","Cosmodrome","""Treasure Hunter""","Скаут","$40 200","4x4","Подключаемый","Подключаемая","45","0,57","45","0,57","80","90000","2457","36,63","Скаутские","Лёгкие","1, передняя","Высокая","Заказная","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-100","","","","","","","Kr 135-T","70000","28,49","khan_317_sentinel.xml","","",""
"KHAN 39 Marshall","High Roller Pack","FALSE","","","","","","Скаут","$20 900","4x4","Постоянный","Подключаемая","33","0,42","41","0,52","70","90000","1919","46,90","Скаутские","Лёгкие","1, передняя","","","Всепроходная","","","","","","JAT MS (DLC)","TM","","100","","TM II
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-80","150-2-80","2","","","","","Kr 104","30000","15,63","khan_39_marshall.xml","","",""
"KHAN Lo4F","","FALSE","","","","","","Скаут","$11 300","4x4","Постоянный","Постоянная","30","0,38","35","0,45","80","72000","2154","33,43","Скаутские","Лёгкие","1, передняя","Высокая","","Всепроходная","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-140;
450-8-240","600-12-380","2","","","","","Kr 104","30000","13,93","khan_lo4f.xml","","",""
"Kirovets K-700","Year 2 - Season 8","TRUE","Контракт","","Belozersk Glades","Crossroads","""The Beast Rising""","Тяжелый","$151 900","4x4","Постоянный","Подключаемая","63","0,80","63","0,80","340","175000","14413","12,14","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","JAT MSH (DLC);
Stock tractor tires","","","600","","K-700 tires","Грузовые прицепы","","Сельхоз прицепы","","","","","Захват K-700","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","800-6","","","","","","","","","","KZGT-8 490 (K-700)","130000","9,02","kirovets_k700.xml","","",""
"Kirovets K-7M","Year 2 - Season 8","TRUE","Поручение","","Belozersk Glades","Heartlands","""The Common Cause""","Тяжелый","$196 900","4x4","Постоянный","Подключаемая","79","1,00","79","1,00","340","170000","22115","7,69","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","MSH I (K-7M)","MSH II (K-7M)","","600","","MSH II (K-7M)","Грузовые прицепы","","Сельхоз прицепы","","","","","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","600-2-180","","","","","","","","","LAZ-8 T310 Tractor","115000","5,20","kirovets_k7m.xml","","",""
"KOLOB 74760","","TRUE","Уровень водителя","22","","","","Тяжелый","$135 000","8x8","Постоянный","Постоянная","59","0,75","59","0,75","380","260000","33780","7,70","Для спецтехники","Тяжелые","2, передние","","","","Активная","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","2","","","","","KZGT-8 490","205000","6,07","kolob_74760.xml","","",""
"KOLOB 74941","","FALSE","","","","","","Тяжелый","$118 200","8x8","Подключаемый","Подключаемая","59","0,75","59","0,75","340","260000","31397","8,28","Для спецтехники","Тяжелые","2, передние","","","","Активная","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","KZGT-8 490","205000","6,53","kolob_74941.xml","","",""
