"English Season 18 Last Updated:
June 26th, 2026 This work was made possible thanks to J.S. Mill and his orignal spreadsheet here Make and Model","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  DLC Required","Needs to be unlocked","Unlocked by","Rank
requirement","Found in region","Found on map","Contract or task name for unlock","Vehicle Class","Truck Store Price","Drivetrain","All-wheel drive","Differential locking","Tire Diameter Stock (in)","Scale stock","Tire Diameter Max (in)","Scale max","Fuel Capacity (L)","Top Engine Torque","Total Mass with wheels","Torque to Mass Ratio","Gearboxes","Winches","Steering axles","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Raised Suspension","Custom Suspension","Crawler
Suspension","Active Suspension","Double all-terrain tires","Single all-terrain tires","Double offroad tires","Single offroad tires","Mud tires","Flotation tires","Chained tires","Mass per tire","Rear axle mass scale (for doubles)","Recommended by VladVulcan","Truck Trailer","Scout Trailer","Farming Trailer","Saddle Low","Saddle Low Tankers","Saddle High","Saddle High Tanker","Loading Crane","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Big Crane","Superheavy Crane","Log Crane","1-slot Bed","2-slot Bed","3-slot Bed ","4-slot Bed ","Crane + Saddle combo ","Short Log Addon","Medium Log Addon","Log Carrier Front (Long logs)","LogCrane + LowSaddle Combo","Futom Logging Trailers","Foldable Logging Semitrailer (Long Logs)","Frame Fuel Tank (L)","Frame Water Tank (L)","Van Body Addon (Repairs - Wheels)","Frame Maintenance Addon (Repairs - Wheels - Fuel)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel)","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Roof Rack with supplies (Repairs -Wheels - Fuel)","Maximum Supplies
(Repairs -Wheels - Fuel)","Spare wheel addon (Pcs)","Seismic Vibrator","Metal Detector","Metal Detector+ anything combo","Towing Platform","Base Engine","Stock Torque","Torque-to-Mass ratio
stock","Truck file name
in the initial.pak","","",""
"Freightliner 114SD","","TRUE","Driver's Rank","20","Ontario","Burned Forest","","Offroad","$93 800","6x6","Switchable","Switchable","43","0,55","47","0,60","300","145000","9017","16,08","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator","Metal Detector","MD+SaddleLow","Ramped Towing Platform","Si-6V/1900","135000","14,97","freightliner_114sd.xml","","",""
"Freightliner FLD 120","Freightliner & Western Star Dual Pack","FALSE","","","","","","Heavy Duty","$84 100","6x6","Switchable","Switchable","43","0,54","46","0,58","310","192000","11067","17,35","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC);
Freightliner FLD","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","","300-5-1400","","450-2-200;
100-2-450","","2","SeismicVibrator","","","Articulated Towing Platform","Si-8V / 2300","160000","14,46","freightliner_fld120.xml","","",""
"Freightliner M916A1","","TRUE","Driver's Rank","17","","","","Offroad","$89 100","6x6","Switchable","Always On","43","0,55","47","0,60","200","192000","12042,8","15,94","Unique offroad (M916)+
Finetune (M916)","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","","SaddleHigh","","LC 3.8","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","Si-8V/2300","160000","13,29","freightliner_m916a1.xml","","",""
"Futom 7290RA","Year 4
Season 14","TRUE","Contract","","Austria","Foothills","""All Work and No Play""","Heavy","$209 700","4x4","Switchable","Switchable","79","1,00","79","1,00","400","180000","20024","8,99","Special","Heavy","2, front+rear","","","","","","","","","MSH
JAT MSH (DLC)
Futom MHS I","Futom MHS II","","","","Futom MHS II","Truck Trailer","","Farm Trailer","","","","","","","","Futom crane","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","Pass 500L12","130000","6,49","futom_7290ra.xml","","",""
"GMC 8000 Brigadier","Brigadier DLC","FALSE","","","","","","Heavy Duty","$107 200","6x6","Switchable","Switchable","39","0,50","46","0,58","285","170000","8000","21,25","Truck","Medium","1, front","Raised","Custom Tuned","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","","YES","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator +Trailer","Metal Detector","MD+2-slotSB/FB
MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform","Si-6V/1900","135000","16,88","gmc_8000.xml","","",""
"GMC MH9500","","TRUE"," Exploration","","Michigan
Ontario","Black River;
Burned Forest","","Highway","$26 300","6x6","Switchable","Switchable","43","0,55","47","0,60","240","145000","8020","18,08","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","PC-320","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","","YES","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator","Metal Detector","MD+2-slotSB/FB
MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform","Westline V6 2420","140000","17,46","gmc_9500.xml","","",""
"GOR BY-4","Year 2 - Season 7","TRUE","Task","","Tennessee","Burning Mill","""Buggy Delivery""","Scout","$17 700","4x4","Switchable","Switchable","29","0,37","31","0,39","50","72000","1458","49,38","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OG","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OG I","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","0-0-60;
0-2-60","","1","","","","","Kr 104","30000","20,58","gor_by4.xml","","",""
"HIB Billert 1980","Year 4
Season 16","TRUE","Task","","Washington","Selten River National Park","""Muddy Route""","Offroad","$74 100","4x4","Always On","Switchable","44","0,56","49","0,62","180","157000","7362","21,33","Truck","Medium +
Autonomous","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","HIB Billert tires","MHS II;
JAT MHS (DLC)","","UAD chains","","x2","MHS II
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","LC 3.8","","","LP-4","1-slot cargo
Bed +Crane +Trailer","2-slot cargo Bed +Trailer","","","Saddle Low + crane","","","","","","","","","","600-4-300","","350-0-120","950-5-420","2","","","","","Si-6V/1900","135000","18,34","hib_billert_1980.xml","","",""
"Hummer H2","","TRUE","Task","","Alaska;
Wisconsin;
Ontario.","North Port;
Black Badger Lake;
The Albany River","""Drowned Hummer"";
""Lost but not Forgotten"";
""Bad trip""","Scout","$18 300","4x4","Switchable","Switchable","36","0,46","39","0,50","80","120000","3804","31,55","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Hummer H2 tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Hummer tires
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-40;
150-0-40","300-4-80","2","","","","","Het/8V 5,8","90000","23,66","hummer_h2.xml","","",""
"International Fleetstar F2070A","","FALSE","","","Michigan
Ontario","Black River;
Burned Forest","""Support Local Rangers""","Heavy Duty","$30 000","6x6","Switchable","Switchable","42","0,53","45","0,57","240","155000","7313","21,20","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","300-5-1400","","","","2","","Metal Detector","MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform","Si-6V/1900","135000","18,46","international_fleetstar_f2070a.xml","","",""
"International HX 520","Anniversary DLC (free)","FALSE","","","","","","Heavy Duty","$172 300","6x6","Switchable","Switchable","43","0,55","47","0,60","280","210000","8564","24,52","Truck","Medium","1, front","","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","","","","","Articulated Towing Platform","Si-8V/2300","160000","18,68","international_hx_520.xml","","",""
"International Loadstar 1700","","FALSE","","","","","","Scout","$39 400","4x4","Always On","Always On","35","0,45","41","0,52","130","145000","5102","28,42","Truck","Scout","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","","Scout Trailer","","","","","","LC 3.8","","","","","","","","","","","","","","","","","400-0","150-6-60","","","","","","","","","Si-6V/1900","135000","26,46","international_loadstar_1700.xml","","",""
"International Paystar 5070","","FALSE","","","","","","Offroad","$82 100","6x6","Switchable","Switchable","46","0,58","46","0,58","240","150000","10209","14,69","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator","Metal Detector","MD+SaddleLow","Ramped Towing Platform","Gb-8V 31 Special","150000","14,69","international_paystar_5070.xml","","",""
"International Paystar 5600TS","Year 1 - Season 3","TRUE"," Exploration",""," Wisconsin","Grainwoods River","","Heavy","$126 600","10x10","Switchable","Switchable","43","0,55","50","0,63","280","250000","22602","11,06","Truck","Heavy","2, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","LC 3.8","PC-320","LK-2NY","LP-4","","","3-slot cargo
Bed +Crane +Trailer","","Saddle Low + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","2800","2800","800-6","","","","","","","","","Ramped Towing Platform","A16V-2000","200000","8,85","paystar_5600ts.xml","","",""
"International Scout 800","","TRUE","Exploration
or Task","","Michigan
Ontario
North Carolina","Black River;
 The Albany River;
Flatland","""Abandoned Transport"";
""Cliffhanger""","Scout","$12 700","4x4","Switchable","Always On","33","0,43","40","0,51","72","50000","3126","15,99","Scout","Scout","1, front","Raised","","Crawler","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-140;
450-6-120","600-8-260","2","","","","","AAT-6V 4,0","35000","11,20","international_scout_800.xml","","",""
"International Transtar 4070A","","TRUE","Driver's Rank or Exploration","6","Michigan","Smithville Dam","","Highway","$31 900","6x4","None","None","39","0,50","42","0,53","265","160000","7047","22,70","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","","","2","","Metal Detector","MD+SaddleLow","Ramped Towing Platform","Si-6V/1900","135000","19,16","international_transtar_4070a.xml","","",""
"Jangsu RX600","Year 5
Season 17","TRUE","Task","","Zurdania","Zurdanian Valley","""The Long Way Through a Shortcut""","Offroad","$93 900","6x6","Switchable","Always On","41","0,53","44","0,57","160","147150","9431,1","15,60","Jangsu special","Medium","1, front","Raised","","Crawler","","","ATHS","","OHS;
JAT OHS (DLC);
Jangsu tires","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","MHS chains","200","","OHS II
TMHS I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","LC 3.8","","","LP-4","","2-slot cargo Bed +Trailer","","","Saddle Low + crane","","","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","900","","800-6","","","150-0-120","150-0-1020;
950-6-120","2","SeismicVibrator +Trailer","","","Articulated Towing Platform","Columbus 6V-170X","115200","12,21","jangsu_rx600.xml","","",""
"Jeep CJ7 Renegade","Jeep
Dual Pack","FALSE","","","","","","Scout","$13 400","4x4","Switchable","Switchable","28","0,35","31","0,40","75","110000","2016","54,56","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OJ","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OJ 1
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-60","150-1-60","2","","","","","AAT-6V 4,0","35000","17,36","jeep_cj7_renegade.xml","","",""
"Jeep Wrangler","Jeep
Dual Pack","FALSE","","","","","","Scout","$20 100","4x4","Switchable","Switchable","32","0,41","36","0,46","80","120000","2319","51,75","Scout","Scout","1, front","Raised","Custom Tuned","Crawler","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
OJ","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","OJ 1
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-40","150-4-40","2","","","","","Het/8V 5,8","90000","38,81","jeep_wrangler.xml","","",""
"Kenworth 963","Year 3 - Season 10","TRUE","Task","","British Columbia","Duncan Bay","""Quid Pro Quo""","Heavy","$147 600","6x6","Switchable","Always On","71","0,90","71","0,90","510","265000","32636","8,12","Special (Kenworth 963)","Heavy","1, front","","","","","","Kenworth 963 tires","","","MSH;
JAT MSH (DLC)","","","600","","Kenworth 963 tires
JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","LK-2NY","LP-4","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo
Bed +Crane +Trailer","","Saddle High + crane","Short Logs Addon +LogCrane +Trailer","Medium Logs Addon +LogCrane+Trailer","LogCarrierFront +LogCrane","","","","","","","350-6-2000","","150-0-160","150-2-2960;
500-6-2160","","","","","Ramped Towing Platform","A12V-780","175000","5,36","kenworth_963.xml","","",""
"Kenworth C500","Kenworth Dual Pack","FALSE","","","","","","Heavy Duty","$153 100","6x6","Switchable","Always On","47","0,60","51","0,65","375","192000","12921","14,86","Truck","Medium","1, front","","","","","ATMD;
JAT ATHD (DLC);
Kenworth C500","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","300-5-1400","","150-0-80","150-4-1880;
950-10-80;
450-9-1480","","SeismicVibrator","","","Articulated Towing Platform
Ramped Towing Platform","Si-8V / 2300","160000","12,38","kenworth_c500.xml","","",""
"Kenworth T880","Kenworth Dual Pack","FALSE","","","","","","Highway","$153 500","6x4","None","Always On","44","0,56","46","0,59","350","288000","11518","25,00","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC);
Kenworth T880","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo Bed +Trailer","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","300-5-1400","","150-0-80","150-2-1880;
950-8-80;
450-7-1480","2","SeismicVibrator","","","Articulated Towing Platform
Ramped Towing Platform","Prime C11","255000","22,14","kenworth_t880.xml","","",""
"Kenworth W990","Kenworth W990","FALSE","","","","","","Highway","$124 400","8x4","None","Always On","44","0,56","52","0,66","380","228000","10435","21,85","Truck","Heavy","1, front","Raised","","","Dead Axle","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","W990 tires","","OHD chains","200","x2","W990 tires","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","150-0-80","150-2-1880;
950-8-80;
450-7-1480","2","SeismicVibrator","","","Articulated Towing Platform","Si-8V / 2300","160000","15,33","kenworth_w990.xml","","",""
"KHAN 317 Sentinel","Year 1 - Season 4","FALSE","","","Amur","Cosmodrome","""Treasure Hunter""","Scout","$40 200","4x4","Switchable","Switchable","45","0,57","45","0,57","80","90000","2457","36,63","Scout","Scout","1, front","Raised","Custom Tuned","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-4-100","","","","","","","Kr 135-T","70000","28,49","khan_317_sentinel.xml","","",""
"KHAN 39 Marshall","High Roller Pack","FALSE","","","","","","Scout","$20 900","4x4","Always On","Switchable","33","0,42","41","0,52","70","90000","1919","46,90","Scout","Scout","1, front","","","Crawler","","","","","","JAT MS (DLC)","TM","","100","","TM II
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-80","150-2-80","2","","","","","Kr 104","30000","15,63","khan_39_marshall.xml","","",""
"KHAN Lo4F","","FALSE","","","","","","Scout","$11 300","4x4","Always On","Always On","30","0,38","35","0,45","80","72000","2154","33,43","Scout","Scout","1, front","Raised","","Crawler","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-140;
450-8-240","600-12-380","2","","","","","Kr 104","30000","13,93","khan_lo4f.xml","","",""
"Kirovets K-700","Year 2 - Season 8","TRUE","Contract","","Belozersk Glades","Crossroads","""The Beast Rising""","Heavy","$151 900","4x4","Always On","Switchable","63","0,80","63","0,80","340","175000","14413","12,14","Special","Heavy","0, articulated","","","","","","","","","JAT MSH (DLC);
Stock tractor tires","","","600","","K-700 tires","Truck Trailer","","Farm Trailer","","","","","K-700 loader","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","800-6","","","","","","","","","","KZGT-8 490 (K-700)","130000","9,02","kirovets_k700.xml","","",""
"Kirovets K-7M","Year 2 - Season 8","TRUE","Task","","Belozersk Glades","Heartlands","""The Common Cause""","Heavy","$196 900","4x4","Always On","Switchable","79","1,00","79","1,00","340","170000","22115","7,69","Special","Heavy","0, articulated","","","","","","","","","MSH I (K-7M)","MSH II (K-7M)","","600","","MSH II (K-7M)","Truck Trailer","","Farm Trailer","","","","","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","600-2-180","","","","","","","","","LAZ-8 T310 Tractor","115000","5,20","kirovets_k7m.xml","","",""
"KOLOB 74760","","TRUE","Driver's Rank","22","","","","Heavy","$135 000","8x8","Always On","Always On","59","0,75","59","0,75","380","260000","33780","7,70","Special","Heavy","2, front","","","","Active","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","2","","","","","KZGT-8 490","205000","6,07","kolob_74760.xml","","",""
"KOLOB 74941","","FALSE","","","","","","Heavy","$118 200","8x8","Switchable","Switchable","59","0,75","59","0,75","340","260000","31397","8,28","Special","Heavy","2, front","","","","Active","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","KZGT-8 490","205000","6,53","kolob_74941.xml","","",""
"KRS 58 ""Bandit""","Year 1 - Season 2","FALSE","","","","","","Offroad","$125 400","8x8","Always On","Always On","51","0,65","51","0,65","150","185000","7820,9","23,65","Truck","Medium","2, front","","","","","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","","AMHS","UAD chains single","100","x2","AMHS I
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","KRS-58","","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","150-2-140","950-8-140;
450-7-1540","","SeismicVibrator","","","Ramped Towing Platform","LAZ 6 T60","130000","16,62","krs_58_bandit.xml","","",""
"Land Rover Defender 110","Land Rover Dual Pack","FALSE","","","","","","Scout","$19 200","4x4","Switchable","Switchable","31","0,40","33","0,42","80","120000","2652","45,25","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
LR tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Land Rover tires
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","Het/8V 5,8","90000","33,94","land_rover_defender_110.xml","","",""
"Land Rover Defender 90","Land Rover Dual Pack","FALSE","","","","","","Scout","$21 400","4x4","Switchable","Switchable","31","0,39","32","0,41","80","120000","2075","57,83","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
LR tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Land Rover tires
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","Het/8V 5,8","90000","43,37","land_rover_defender_90.xml","","",""
"Mack Defense M917","Year 3 - Season 10","TRUE","Task","","British Columbia","North Peak National Park","""Long Distance Haul""","Offroad","$127 500","8x8","Always On","Switchable","47","0,60","47","0,60","350","232000","17629","13,16","Truck+
Multipurpose (M917)","Medium","1, front","Raised","","","Active","","ATHS","","OHS;
JAT OHS (DLC);
Mack M917 tires","DMHS;
JAT MHS (DLC)","","UAD chains","200","","Mack tires","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","150-0-80","950-7-80
450-6-1480","1","SeismicVibrator","","","Articulated Towing Platform
Ramped Towing Platform","MC-V6 11.0T","176500","10,01","mack_defense_m917.xml","","",""
"Mack Pinnacle","Mack Dual Pack","FALSE","","","","","","Heavy Duty","$145 000","6x6","Switchable","Switchable","43","0,54","46","0,58","350","232000","13547","17,13","Truck+
Multipurpose (Pinnacle)","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC);
Mack ZES","","OHD;
JAT OHD (DLC)","","JAT MMD (DLC)","","OHD chains","","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","Pinnacle log crane","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo Bed +Trailer","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","Medium Logs Addon +LogCrane+Trailer","LogCarrierFront","","","","1800","1800","800-6","300-5-1400","","150-0-80","150-8-1880
950-14-80
450-13-1480","","","","","Ramped Towing Platform","MC-V6 11.0T","176500","13,03","mack_pinnacle.xml","","",""
"Mack Terra Pro","Mack Dual Pack","FALSE","","","","","","Highway","$129 800","6x4","None","Always On","44","0,56","47","0,60","280","232000","10570","21,95","Truck+
Multipurpose (Terra Pro)","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC);
Mack ZES","","OHD;
JAT OHD (DLC)","","JAT MMD (DLC)","","OHD chains","","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo Bed +Trailer","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","","","1800","1800","800-6","300-5-1400","","150-0-100","150-4-1900
950-10-100
450-9-1500","4","","","","Ramped Towing Platform","MC-V6 11.0T","176500","16,70","mack_terra_pro.xml","","",""
